			Протокол прохода WK_00003 над изображением WK_00005 с шагом 1000 пикселей.


Имитация высоты полета на 50.0 м. Высота опорного изображения: 500 м.
-------------------------------------------------------------------------------------------------------------------------
| номер | Кол-во КТ опорного | Кол-во КТ обл. | Кол-во   | Кол-во общих КТ | Вариант               | Отклонение         |
| п/п   | изображения        | видимости      | общих КТ | после фильтра   | искажения             | от истины          |
-------------------------------------------------------------------------------------------------------------------------
|  22   |       227176       |      1494      |    6     |        6        |    Поворот 60 град    |   [-1234, -778]    |
|  23   |       227176       |      1518      |    37    |       33        |    Поворот 60 град    |   [-1895, -738]    |
|  24   |       227176       |      1325      |    5     |        5        |    Поворот 60 град    |   [-2345, -614]    |
|  25   |       227176       |      941       |    1     |        0        |    Поворот 60 град    |     не найдено     |
|  26   |       227176       |      525       |    11    |       11        |    Поворот 60 град    |   [-735, -1466]    |
|  27   |       227176       |      820       |    10    |        6        |    Поворот 60 град    |   [-1341, -1379]   |
|  28   |       227176       |      1353      |    10    |        5        |    Поворот 60 град    |   [-1927, -1409]   |
|  29   |       227176       |      1356      |    7     |        6        |    Поворот 60 град    |   [-2583, -1348]   |
|  30   |       227176       |      1319      |    10    |       10        |    Поворот 60 град    |   [-3219, -1285]   |
|  31   |       227176       |      591       |    1     |        0        |    Поворот 60 град    |     не найдено     |
|  32   |       227176       |      1368      |    86    |       72        |    Поворот 60 град    |   [-1405, -1979]   |
|  33   |       227176       |      448       |    9     |        5        |    Поворот 60 град    |   [-1936, -1855]   |
|  34   |       227176       |      371       |    26    |        3        |    Поворот 60 град    |   [-2545, -1821]   |
|  35   |       227176       |      979       |    14    |       14        |    Поворот 60 град    |   [-3141, -1874]   |
|  36   |       227176       |       4        |    0     |        0        |    Поворот 60 град    |     не найдено     |
|  37   |       227176       |       32       |    0     |        0        |    Поворот 60 град    |     не найдено     |
|  38   |       227176       |      192       |    16    |        0        |    Поворот 60 град    |     не найдено     |
|  39   |       227176       |       26       |    0     |        0        |    Поворот 60 град    |     не найдено     |
|  40   |       227176       |      627       |    17    |       16        |    Поворот 60 град    |   [-3219, -2472]   |
-------------------------------------------------------------------------------------------------------------------------
|  41   |       227176       |      602       |    2     |        0        |   Поворот -120 град   |     не найдено     |
|  42   |       227176       |      1488      |    8     |        8        |   Поворот -120 град   |   [-1218, -746]    |
|  43   |       227176       |      1502      |    39    |       36        |   Поворот -120 град   |   [-1900, -739]    |
|  44   |       227176       |      1342      |    2     |        0        |   Поворот -120 град   |     не найдено     |
