			Протокол прохода WK_00002 над изображением WK_00003 с шагом 1000 пикселей.


Имитация высоты полета на 30.0 м. Высота опорного изображения: 300 м.
----------------------------------------------------------------------------------------------------------------------
| номер | Кол-во КТ опорного | Кол-во КТ обл. | Кол-во   | Кол-во общих КТ | Вариант            | Положение на       |
| п/п   | изображения        | видимости      | общих КТ | после фильтра   | искажения          | опорном изображ.   |
|  41   |       89205        |      194       |    13    |       12        | Поворот -120 град  |     [997, 744]     |
|  42   |       89205        |      250       |    11    |       11        | Поворот -120 град  |    [1710, 756]     |
|  43   |       89205        |      169       |    22    |       21        | Поворот -120 град  |    [2350, 735]     |
|  44   |       89205        |      248       |    30    |       29        | Поворот -120 град  |    [3048, 661]     |
|  45   |       89205        |      396       |    23    |       23        | Поворот -120 град  |    [3694, 648]     |
|  46   |       89205        |      205       |    10    |        9        | Поворот -120 град  |    [1051, 1437]    |
|  47   |       89205        |      218       |    32    |       23        | Поворот -120 град  |    [1787, 1466]    |
|  48   |       89205        |      698       |    48    |       46        | Поворот -120 град  |    [2399, 1396]    |
|  49   |       89205        |      291       |    24    |       24        | Поворот -120 град  |    [3109, 1386]    |
|  50   |       89205        |      549       |    52    |       47        | Поворот -120 град  |    [3718, 1322]    |
|  51   |       89205        |      490       |    81    |       79        | Поворот -120 град  |    [1072, 2122]    |
|  52   |       89205        |      108       |    5     |        5        | Поворот -120 град  |    [1661, 2042]    |
|  53   |       89205        |       99       |    15    |       13        | Поворот -120 град  |    [2345, 2022]    |
|  54   |       89205        |      203       |    16    |       15        | Поворот -120 град  |    [3110, 2012]    |
|  55   |       89205        |      269       |    14    |       13        | Поворот -120 град  |    [3747, 2000]    |
|  56   |       89205        |      192       |    25    |       20        | Поворот -120 град  |    [1074, 2806]    |
|  57   |       89205        |      121       |    19    |       19        | Поворот -120 град  |    [1730, 2745]    |
|  58   |       89205        |       43       |    2     |        0        | Поворот -120 град  |     не найдено     |
|  59   |       89205        |      209       |    13    |       13        | Поворот -120 град  |    [3182, 2684]    |
|  60   |       89205        |      322       |    43    |       43        | Поворот -120 град  |    [3840, 2671]    |
----------------------------------------------------------------------------------------------------------------------
|  61   |       89205        |      312       |    18    |       18        |  Поворот 180 град  |     [986, 773]     |
|  62   |       89205        |      363       |    31    |       25        |  Поворот 180 град  |    [1716, 745]     |
|  63   |       89205        |      197       |    28    |       21        |  Поворот 180 град  |    [2337, 748]     |
|  64   |       89205        |      330       |    35    |       33        |  Поворот 180 град  |    [3034, 683]     |
|  65   |       89205        |      459       |    36    |       34        |  Поворот 180 град  |    [3673, 616]     |
|  66   |       89205        |      298       |    11    |        9        |  Поворот 180 град  |    [1059, 1417]    |
|  67   |       89205        |      297       |    60    |       24        |  Поворот 180 град  |    [1765, 1478]    |
|  68   |       89205        |      893       |    82    |       70        |  Поворот 180 град  |    [2412, 1387]    |
|  69   |       89205        |      402       |    36    |       35        |  Поворот 180 град  |    [3061, 1362]    |
|  70   |       89205        |      676       |   102    |       64        |  Поворот 180 град  |    [3702, 1342]    |
|  71   |       89205        |      650       |   118    |       115       |  Поворот 180 град  |    [1075, 2140]    |
|  72   |       89205        |      134       |    7     |        7        |  Поворот 180 град  |    [1701, 2045]    |
|  73   |       89205        |      242       |    37    |       34        |  Поворот 180 град  |    [2428, 2011]    |
|  74   |       89205        |      264       |    13    |       11        |  Поворот 180 град  |    [3102, 1990]    |
|  75   |       89205        |      236       |    17    |        8        |  Поворот 180 град  |    [3763, 2046]    |
|  76   |       89205        |      274       |    25    |       24        |  Поворот 180 град  |    [1110, 2766]    |
|  77   |       89205        |      153       |    38    |       34        |  Поворот 180 град  |    [1729, 2769]    |
|  78   |       89205        |       73       |    13    |        7        |  Поворот 180 град  |    [2393, 2804]    |
|  79   |       89205        |      254       |    25    |       23        |  Поворот 180 град  |    [3192, 2671]    |
|  80   |       89205        |      451       |    63    |       54        |  Поворот 180 град  |    [3849, 2651]    |
----------------------------------------------------------------------------------------------------------------------
|  81   |       89205        |      314       |    17    |       16        |    Яркость +30     |     [978, 773]     |
|  82   |       89205        |      345       |    31    |       26        |    Яркость +30     |    [1718, 743]     |
|  83   |       89205        |      175       |    31    |       24        |    Яркость +30     |    [2376, 747]     |
|  84   |       89205        |      329       |    28    |       28        |    Яркость +30     |    [3025, 661]     |
|  85   |       89205        |      452       |    37    |       35        |    Яркость +30     |    [3671, 616]     |
|  86   |       89205        |      311       |    15    |       14        |    Яркость +30     |    [1071, 1439]    |
|  87   |       89205        |      285       |    62    |       30        |    Яркость +30     |    [1776, 1478]    |
|  88   |       89205        |      894       |    91    |       75        |    Яркость +30     |    [2438, 1396]    |
|  89   |       89205        |      407       |    31    |       30        |    Яркость +30     |    [3061, 1361]    |
|  90   |       89205        |      660       |   106    |       66        |    Яркость +30     |    [3706, 1344]    |
|  91   |       89205        |      657       |   116    |       114       |    Яркость +30     |    [1071, 2145]    |
|  92   |       89205        |      135       |    10    |       10        |    Яркость +30     |    [1739, 2025]    |
|  93   |       89205        |      235       |    37    |       34        |    Яркость +30     |    [2429, 2011]    |
|  94   |       89205        |      271       |    14    |       13        |    Яркость +30     |    [3092, 1990]    |
|  95   |       89205        |      248       |    15    |       15        |    Яркость +30     |    [3749, 2001]    |
|  96   |       89205        |      268       |    26    |       23        |    Яркость +30     |    [1103, 2791]    |
|  97   |       89205        |      160       |    37    |       32        |    Яркость +30     |    [1729, 2748]    |
|  98   |       89205        |       75       |    10    |        5        |    Яркость +30     |    [2481, 2784]    |
|  99   |       89205        |      251       |    24    |       22        |    Яркость +30     |    [3192, 2670]    |
|  100  |       89205        |      468       |    68    |       62        |    Яркость +30     |    [3821, 2667]    |
----------------------------------------------------------------------------------------------------------------------
|  101  |       89205        |      537       |    13    |        9        |    Яркость -30     |    [1002, 773]     |
|  102  |       89205        |      500       |    29    |       22        |    Яркость -30     |    [1781, 726]     |
|  103  |       89205        |      215       |    33    |       22        |    Яркость -30     |    [2383, 747]     |
|  104  |       89205        |      349       |    32    |       29        |    Яркость -30     |    [3025, 685]     |
|  105  |       89205        |      586       |    40    |       28        |    Яркость -30     |    [3687, 611]     |
|  106  |       89205        |      344       |    13    |       12        |    Яркость -30     |    [1081, 1443]    |
|  107  |       89205        |      301       |    57    |       26        |    Яркость -30     |    [1776, 1472]    |
|  108  |       89205        |      943       |    82    |       69        |    Яркость -30     |    [2423, 1388]    |
|  109  |       89205        |      423       |    30    |       30        |    Яркость -30     |    [3077, 1361]    |
|  110  |       89205        |      687       |   127    |       58        |    Яркость -30     |    [3706, 1362]    |
|  111  |       89205        |      695       |   114    |       107       |    Яркость -30     |    [1082, 2145]    |
|  112  |       89205        |      141       |    9     |        9        |    Яркость -30     |    [1734, 2025]    |
|  113  |       89205        |      242       |    37    |       34        |    Яркость -30     |    [2429, 2011]    |
|  114  |       89205        |      275       |    14    |       13        |    Яркость -30     |    [3087, 1990]    |
|  115  |       89205        |      314       |    14    |       14        |    Яркость -30     |    [3762, 2001]    |
|  116  |       89205        |      326       |    26    |       17        |    Яркость -30     |    [1068, 2800]    |
|  117  |       89205        |      611       |    34    |       27        |    Яркость -30     |    [1683, 2748]    |
|  118  |       89205        |      130       |    5     |        4        |    Яркость -30     |    [2621, 2815]    |
|  119  |       89205        |      312       |    24    |       23        |    Яркость -30     |    [3192, 2670]    |
|  120  |       89205        |      541       |    61    |       52        |    Яркость -30     |    [3818, 2651]    |
----------------------------------------------------------------------------------------------------------------------
|  121  |       89205        |      420       |    14    |       13        |  Добавление шумов  |    [1000, 779]     |
|  122  |       89205        |      501       |    29    |       23        |  Добавление шумов  |    [1713, 744]     |
|  123  |       89205        |      234       |    18    |       17        |  Добавление шумов  |    [2337, 742]     |
|  124  |       89205        |      513       |    25    |       25        |  Добавление шумов  |    [3022, 679]     |
|  125  |       89205        |      628       |    27    |       26        |  Добавление шумов  |    [3677, 654]     |
|  126  |       89205        |      551       |    9     |        8        |  Добавление шумов  |    [1034, 1436]    |
|  127  |       89205        |      500       |    34    |       34        |  Добавление шумов  |    [1788, 1412]    |
|  128  |       89205        |      1208      |    56    |       49        |  Добавление шумов  |    [2429, 1394]    |
|  129  |       89205        |      682       |    26    |       25        |  Добавление шумов  |    [3077, 1383]    |
